"","gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"39","GPBP1L1",891.588340567189,0.218675092584356,0.0767007543539568,0,1,1
"40","TCEANC2",260.841219017547,0.219103358864906,0.204966724577193,0,1,1
"41","DAB1",237.411844846825,-0.12899551570486,0.156969146627808,0,1,1
"42","RAB3B",825.522888192103,-0.312390526168824,0.379037433969434,0,1,1
"43","SCP2",600.744541142433,-0.250334263689663,0.113012493055258,0,1,1
"44","FAF1",736.668939277786,-0.0302019491300914,0.0977718456604212,0,1,1
"45","USP24",2206.52403500524,0.142256498062866,0.0830631125180968,0,1,1
"46","FGGY",303.8883125075,0.097785651065587,0.186355421389968,0,1,1
"47","CACHD1",917.645245434262,-0.114903828885993,0.187102715389727,0,1,1
"48","USP1",384.350476818289,0.189920518719361,0.139279910669051,0,1,1
"49","ITGB3BP",48.3228952312698,-0.227192717125497,0.231468658904882,0,1,1
"50","LEPR",172.361082763579,-0.0785699165207707,0.232097894361819,0,1,1
"51","NFIA",3085.31233603815,0.294938285756857,0.188195865896058,0,1,1
"52","NEGR1",1177.59040128608,-0.544209630328131,0.268188510878826,0,1,1
"53","LRRC7",2422.60202328887,-0.376734126983726,0.155334322276372,0,1,1
"54","ST6GALNAC3",173.035968033629,0.370391123940337,0.184576282400454,0,1,1
"55","PIGK",255.481297706843,-0.17234606757428,0.22380510844599,0,1,1
"56","CLCA4",90.3866579943735,1.4101492623243,0.434538325522569,0.943873619964505,0.345234234027437,1
"57","LRRC8C",393.156926486281,0.034411307024725,0.129837761642178,0,1,1
"58","PKN2-AS1",17.0738683494624,-1.02125360235696,0.246495065100132,-0.0862232367545593,0.931288959233196,1
"59","DDAH1",2472.39968066268,-0.433446796513314,0.172137452291104,0,1,1
"60","LOC729970",69.5285745358808,-0.228166491149601,0.156424865712032,0,1,1
"61","LOC102723661",0.279172014205086,0.509803808567063,2.28406502251834,0,1,1
"62","FAM69A",357.833455718083,-0.0959835703710394,0.187722241158264,0,1,1
"63","GCLM",282.17339947394,-0.236837076528339,0.17454954665265,0,1,1
"64","NTNG1",191.290425512265,-0.356194990854072,0.168481116885267,0,1,1
"65","PHTF1",367.35387417099,0.0418488727900788,0.144395681525794,0,1,1
"66","GNAI3",440.455321015773,-0.00168809939849943,0.109024733585855,0,1,1
"67","KCNA2",974.867925945995,-0.33130142009754,0.233361411493564,0,1,1
"68","RAP1A",577.370538923469,0.421340248982507,0.167149968964449,0,1,1
"69","RHOC",820.846092770158,-0.0824730181109681,0.158454924049969,0,1,1
"70","NOTCH2",3822.26393111935,0.268575016589508,0.199639620297182,0,1,1
"71","WDR3",221.496477120838,-0.309787678843901,0.13526460529647,0,1,1
"72","LOC101927429",0.216477598596953,-1.32304771779652,1.70542352383691,-0.18942374916333,0.849760712263691,1
"73","OTUD7B",1873.17523007075,0.459359622409028,0.222733996194567,0,1,1
"74","NBPF9",2.58752051859122,1.29161018554753,0.605151225615467,0.481879856148264,0.629891296691508,1
"75","PDZK1",12.1061378959472,0.00683460888515224,0.285282558327058,0,1,1
"76","NBPF20",0.218599362231988,-0.259631004045024,1.70409635713327,0,1,1
"77","NBPF8",26.2924630164788,0.41377025547244,0.289421344373863,0,1,1
"78","NBPF25P",62.225544673894,0.308928858367175,0.28676563482562,0,1,1
"79","NBPF10",92.4029146192848,0.487763902739913,0.221150885936601,0,1,1
"80","TPM3",1596.59088942433,-0.349792837738071,0.111015583039563,0,1,1
"81","SMG5",2211.90058184972,0.427337321663024,0.0906041670528924,0,1,1
"82","GBAP1",113.536993719872,-0.218670844218243,0.204244612017833,0,1,1
"83","LOC440700",2.17799484794352,0.282549247403864,0.655836497559472,0,1,1
"84","FCGR2A",178.146069747985,0.123464349710834,0.347075683768232,0,1,1
"85","PBX1",1599.73362662976,-0.244874057330065,0.13451790177072,0,1,1
"86","DNM3",3075.54178199927,-0.0384701748947871,0.177566766659297,0,1,1
"87","TNFSF18",3.40650609230006,-0.34657132503522,0.469343085280854,0,1,1
"88","MROH9",8.20573110215472,0.925357672770973,0.500269366118251,0,1,1
"89","TNN",9.33726477784175,-1.0080428337375,0.360847274658587,-0.0222887473519265,0.982217624966305,1
"90","BRINP2",1107.75684751137,-0.475978950318173,0.15968666066356,0,1,1
"91","ACBD6",306.024111696445,0.00790541672758235,0.0860809823475002,0,1,1
"92","SMG7",1450.54415294131,-0.0270608580601229,0.0972190929393019,0,1,1
"93","SOAT1",323.401586298314,0.145171779319883,0.143366571267224,0,1,1
"94","RASAL2",1671.86359181841,-0.487577341397518,0.132721139115142,0,1,1
"95","RGSL1",2.23525638137169,-1.43246537456337,0.67778304086274,-0.638058712730393,0.523435461405459,1
"96","PTGS2",88.9047987733139,-0.740662211771704,0.237840063834576,0,1,1
"97","ZBTB41",837.130990780578,0.0757084351823531,0.149648604121325,0,1,1
"98","NEK7",917.449902906107,0.373766207508347,0.297892962369171,0,1,1
"99","PPP1R12B",2785.42836787297,0.0866825905666724,0.123096196806873,0,1,1
"100","SRGAP2D",28.9815838735202,0.496478291064,0.182114882560617,0,1,1
"101","SRGAP2",1213.72233304323,0.330990635216067,0.138343813455779,0,1,1
"102","BATF3",51.5331961906657,-0.433028156237936,0.232919653074942,0,1,1
"103","USH2A",43.8147344896206,-0.00191524362049041,0.173525220870933,0,1,1
"104","ESRRG",200.905065097703,-0.267070102016232,0.20470931260582,0,1,1
"105","HHAT",112.783926549117,-0.184769703002355,0.144521820409366,0,1,1
